Personnel_Records.Payroll_Number,Personnel_Records.Forenames,Personnel_Records.Surname,Personnel_Records.Date_of_Birth,Personnel_Records.Telephone,Personnel_Records.Mobile,Personnel_Records.Address,Personnel_Records.Address_2,Personnel_Records.Postcode,Personnel_Records.EMail_Home,Personnel_Records.Start_Date
1,John ,William,4/5/1995,34534534,987654231,12 Foreman road,London,GU12 6JW,john@gmail.com,8/3/1996
2,Barbara,Shon,12/1/1996,2050508,6987457,115 Spinney Road,Luton,LU33DF,shon@gmail.com,13/12/1997
3,Jackie,Hockilson,15/06/1997,12345678,987654231,Maria R Lanoue,Berlin,GU12 6JW,jackie@gmail.com,21/04/1999
4,Michael,McGregor,25/06/1998,2050508,6987457,Todd M Anderson,New York,LU33DF,michael@gmail.com,2/9/1999
5,Sara,McHonor,5/6/1999,12345678,987654231,Nikita A Williams,Washington,GU12 6JW,sara@gmail.com,4/11/1999
6,Conor,Jackson,10/2/2000,2050508,6987457,Marta H Crow,Zhenjiang,LU33DF,conor@gmail.com,7/3/2000
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
