Personnel_Records.Payroll_Number,Personnel_Records.Forenames,Personnel_Records.Surname,Personnel_Records.Date_of_Birth,Personnel_Records.Telephone,Personnel_Records.Mobile,Personnel_Records.Address,Personnel_Records.Address_2,Personnel_Records.Postcode,Personnel_Records.EMail_Home,Personnel_Records.Start_Date
1,John ,William,4/5/1995,34534534,987654231,12 Foreman road,London,GU12 6JW,john@gmail.com,8/3/1996
2,Barbara,Shon,12/1/1996,2050508,6987457,115 Spinney Road,Luton,LU33DF,shon@gmail.com,13/12/1997
3,Jackie,Hockilson,15/06/1997,12345678,987654231,Maria R Lanoue,Berlin,GU12 6JW,jackie@gmail.com,21/04/1999
4,Michael,McGregor,25/06/1998,2050508,6987457,Todd M Anderson,New York,LU33DF,michael@gmail.com,2/9/1999
5,Sara,McHonor,5/6/1999,12345678,987654231,Nikita A Williams,Washington,GU12 6JW,sara@gmail.com,4/11/1999
6,Conor,Jackson,10/2/2000,2050508,6987457,Marta H Crow,Zhenjiang,LU33DF,conor@gmail.com,7/3/2000
7,Sellie,William,22/07/2001,345345,987654231,Belinda E Wilson,Shanhai,GU12 6JW,sellie@gmail.com,27/07/2004
8,Jimmie,Jackson,25/11/2001,344676,6987457,Evelyn A Sullivan,Hong Kong,LU33DF,jimmie@gmail.com,6/10/2006
9,Tommi,William,16/02/2003,67228877,987654231,Robyn G Allsop,Taiwan,GU12 6JW,tommi@gmail.com,21/04/2009
10,Tim,Jackson,4/12/2004,5675678,6987457,Christina J Gardner,Amsterdam,LU33DF,tim@gmail.com,28/04/2010
11,Tom,William,5/9/2006,855667,987654231,Alex K Huffman,Piza,GU12 6JW,tom@gmail.com,9/9/2010
12,Bob,Jackson,7/3/2008,2050508,6987457,Adriana J Lewis,Moscow,LU33DF,bob@gmail.com,15/12/2010
13,Bobbi,William,28/11/2011,12345678,987654231,Patricia N Baze,Sochi,GU12 6JW,bobbi@gmail.com,24/01/2011
14,Sam,Jackson,25/04/2013,2050508,464564564,Daniel J Solomon,San Francisco,LU33DF,sam@gmail.com,5/5/2012
15,Semmie,William,30/07/2013,12345678,2023090,Mary S Hoyt,Ohayo,GU12 6JW,semmie@gmail.com,11/1/2013
16,Lili,Jackson,10/2/2015,2050508,6987457,Jeff J Elwell,Switcherland,LU33DF,lili@gmail.com,6/12/2013
17,Leyla,William,20/08/2015,12345678,987654231,Phyllis W Purser,Scotland,GU12 6JW,leyla@gmail.com,29/10/2015
18,Steve,Jobs,25/11/2016,2050508,6987457,David A Prado,England,LU33DF,steve@gmail.com,22/05/2016
19,Steve,Voznyak,26/03/2019,12345678,987654231,David J Maez,Uels,GU12 6JW,stevevoz@gmail.com,12/9/2018
20,Bill,Gates,13/07/2019,2050508,6987457,John A Wagner,Vietnam,LU33DF,bill@gmail.com,11/5/2020
21,Freddy,Friggers,12/10/2019,12345678,987654231,Tina C Stone,China,GU12 6JW,freddy@gmail.com,25/07/2020
22,Albert,Jackson,12/2/2021,2050508,6987457,Candice E Greenleaf,South Korea,LU33DF,albert@gmail.com,10/8/2020
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
